2026-09-16 02:15:49,311 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
2026-09-16 02:15:49,311 - nanochat.common - [33m[1mWARNING[0m - Peak flops undefined for: Tesla T4, MFU will show as 0%
W0916 02:16:06.575000 88 torch/_inductor/utils.py:1679] [0/0] Not enough SMs to use max_autotune_gemm mode

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
GPU: Tesla T4 | Peak FLOPS (BF16): inf
COMPUTE_DTYPE: torch.float16 (set via NANOCHAT_DTYPE=float16)
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
WARNING: Flash Attention 3 not available, using PyTorch SDPA fallback
WARNING: Training will be less efficient without FA3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Vocab size: 16,009
Padding vocab_size from 16009 to 16064 for efficiency
Model config:
{
  "sequence_len": 840,
  "vocab_size": 16009,
  "n_layer": 6,
  "n_head": 3,
  "n_kv_head": 3,
  "n_embd": 384,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 6,168,576
value_embeds            : 18,505,728
lm_head                 : 6,168,576
transformer_matrices    : 10,616,940
scalars                 : 38
total                   : 41,459,858
Estimated FLOPs per token: 1.239376e+08
Padding vocab_size from 16009 to 16064 for efficiency
Scaling LRs by 0.3536 for batch size 53,760 (reference: 524,288)
Scaling weight decay from 0.280000 to 0.573677 for depth 6
Scaling the LR for the AdamW parameters ∝1/√(384/768) = 1.414214
GradScaler enabled for fp16 training
Using user-provided number of iterations: 3,814
Total number of training tokens: 205,040,640
Tokens : Scaling params ratio: 12.22
Total training FLOPs estimate: 2.541224e+16
Tokens / micro-batch / rank: 32 x 840 = 26,880
Tokens / micro-batch: 26,880
Total batch size 53,760 => gradient accumulation steps: 2
Step 00000 | Validation bpb: 2.199665
step 00000/03814 (0.00%) | loss: 9.681343 | lrm: 0.03 | dt: 61941.81ms | tok/sec: 867 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/03814 (0.03%) | loss: 9.679718 | lrm: 0.05 | dt: 575.46ms | tok/sec: 93,420 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/03814 (0.05%) | loss: 9.676834 | lrm: 0.07 | dt: 526.93ms | tok/sec: 102,025 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/03814 (0.08%) | loss: 9.672765 | lrm: 0.10 | dt: 527.56ms | tok/sec: 101,903 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/03814 (0.10%) | loss: 9.667216 | lrm: 0.12 | dt: 529.90ms | tok/sec: 101,452 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00005/03814 (0.13%) | loss: 9.659241 | lrm: 0.15 | dt: 536.96ms | tok/sec: 100,119 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00006/03814 (0.16%) | loss: 9.647877 | lrm: 0.17 | dt: 540.81ms | tok/sec: 99,406 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00007/03814 (0.18%) | loss: 9.632425 | lrm: 0.20 | dt: 602.01ms | tok/sec: 89,300 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00008/03814 (0.21%) | loss: 9.610416 | lrm: 0.23 | dt: 544.38ms | tok/sec: 98,754 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00009/03814 (0.24%) | loss: 9.580474 | lrm: 0.25 | dt: 553.72ms | tok/sec: 97,088 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00010/03814 (0.26%) | loss: 9.539069 | lrm: 0.28 | dt: 545.93ms | tok/sec: 98,474 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.00m
step 00011/03814 (0.29%) | loss: 9.478214 | lrm: 0.30 | dt: 607.48ms | tok/sec: 88,497 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.01m | eta: 38.5m
step 00012/03814 (0.31%) | loss: 9.394726 | lrm: 0.33 | dt: 563.63ms | tok/sec: 95,381 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.02m | eta: 37.1m
step 00013/03814 (0.34%) | loss: 9.280774 | lrm: 0.35 | dt: 548.40ms | tok/sec: 98,031 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.03m | eta: 36.3m
step 00014/03814 (0.37%) | loss: 9.141095 | lrm: 0.38 | dt: 548.72ms | tok/sec: 97,972 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.04m | eta: 35.9m
step 00015/03814 (0.39%) | loss: 9.008830 | lrm: 0.40 | dt: 545.76ms | tok/sec: 98,504 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.05m | eta: 35.6m
step 00016/03814 (0.42%) | loss: 8.897035 | lrm: 0.42 | dt: 546.67ms | tok/sec: 98,340 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.06m | eta: 35.5m
step 00017/03814 (0.45%) | loss: 8.776992 | lrm: 0.45 | dt: 552.30ms | tok/sec: 97,338 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.07m | eta: 35.4m
step 00018/03814 (0.47%) | loss: 8.667173 | lrm: 0.47 | dt: 547.37ms | tok/sec: 98,214 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.07m | eta: 35.3m
step 00019/03814 (0.50%) | loss: 8.577136 | lrm: 0.50 | dt: 553.25ms | tok/sec: 97,171 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.08m | eta: 35.2m
step 00020/03814 (0.52%) | loss: 8.483354 | lrm: 0.53 | dt: 550.36ms | tok/sec: 97,681 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.09m | eta: 35.2m
step 00021/03814 (0.55%) | loss: 8.397411 | lrm: 0.55 | dt: 550.00ms | tok/sec: 97,746 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.10m | eta: 35.1m
step 00022/03814 (0.58%) | loss: 8.317818 | lrm: 0.57 | dt: 554.87ms | tok/sec: 96,887 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.11m | eta: 35.1m
step 00023/03814 (0.60%) | loss: 8.227952 | lrm: 0.60 | dt: 556.29ms | tok/sec: 96,640 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.12m | eta: 35.1m
step 00024/03814 (0.63%) | loss: 8.144411 | lrm: 0.62 | dt: 564.82ms | tok/sec: 95,181 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 3 | total time: 0.13m | eta: 35.1m
step 00025/03814 (0.66%) | loss: 8.067878 | lrm: 0.65 | dt: 551.65ms | tok/sec: 97,453 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.14m | eta: 35.1m
step 00026/03814 (0.68%) | loss: 8.002430 | lrm: 0.68 | dt: 554.77ms | tok/sec: 96,905 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.15m | eta: 35.1m
step 00027/03814 (0.71%) | loss: 7.932697 | lrm: 0.70 | dt: 555.16ms | tok/sec: 96,837 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.16m | eta: 35.1m
step 00028/03814 (0.73%) | loss: 7.862721 | lrm: 0.72 | dt: 551.56ms | tok/sec: 97,468 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.17m | eta: 35.1m
step 00029/03814 (0.76%) | loss: 7.791348 | lrm: 0.75 | dt: 553.85ms | tok/sec: 97,065 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.18m | eta: 35.1m
step 00030/03814 (0.79%) | loss: 7.719637 | lrm: 0.78 | dt: 556.13ms | tok/sec: 96,667 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.19m | eta: 35.0m
step 00031/03814 (0.81%) | loss: 7.640869 | lrm: 0.80 | dt: 551.27ms | tok/sec: 97,521 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.19m | eta: 35.0m
step 00032/03814 (0.84%) | loss: 7.568615 | lrm: 0.82 | dt: 565.83ms | tok/sec: 95,010 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 4 | total time: 0.20m | eta: 35.0m
